Validation_Set,Topics,Alpha,Beta,Coherence
['100% Corpus'],15,asymmetric,0.31,0.3457124819695115
['100% Corpus'],15,asymmetric,0.61,0.36604564893704633
['100% Corpus'],15,asymmetric,0.9099999999999999,0.3426754404154261
['100% Corpus'],15,asymmetric,symmetric,0.34430375332087876
['100% Corpus'],16,0.01,0.01,0.3506048977533306
['100% Corpus'],16,0.01,0.31,0.34341843095197383
['100% Corpus'],16,0.01,0.61,0.3512274915631679
['100% Corpus'],16,0.01,0.9099999999999999,0.353776728089233
['100% Corpus'],16,0.01,symmetric,0.34760090875595206
['100% Corpus'],16,0.31,0.01,0.3592238115775377
['100% Corpus'],16,0.31,0.31,0.3340194668489811
['100% Corpus'],16,0.31,0.61,0.389154210827614
['100% Corpus'],16,0.31,0.9099999999999999,0.3980565287211194
['100% Corpus'],16,0.31,symmetric,0.35175050831786464
['100% Corpus'],16,0.61,0.01,0.4440924916269193
['100% Corpus'],16,0.61,0.31,0.4587511970409588
['100% Corpus'],16,0.61,0.61,0.5175112351127128
['100% Corpus'],16,0.61,0.9099999999999999,0.5775107746112724
['100% Corpus'],16,0.61,symmetric,0.41406218878847134
['100% Corpus'],16,0.9099999999999999,0.01,0.5418861522621643
['100% Corpus'],16,0.9099999999999999,0.31,0.4916879938418763
['100% Corpus'],16,0.9099999999999999,0.61,0.4727798454419788
['100% Corpus'],16,0.9099999999999999,0.9099999999999999,0.46710654433537324
['100% Corpus'],16,0.9099999999999999,symmetric,0.44116433436896263
['100% Corpus'],16,symmetric,0.01,0.337895014782176
['100% Corpus'],16,symmetric,0.31,0.39603489174609596
['100% Corpus'],16,symmetric,0.61,0.3463226490417626
['100% Corpus'],16,symmetric,0.9099999999999999,0.3388092186163751
['100% Corpus'],16,symmetric,symmetric,0.3700095077597598
['100% Corpus'],16,asymmetric,0.01,0.3571966627693071
['100% Corpus'],16,asymmetric,0.31,0.4233550848272786
['100% Corpus'],16,asymmetric,0.61,0.4323169174078185
['100% Corpus'],16,asymmetric,0.9099999999999999,0.4292004927846723
['100% Corpus'],16,asymmetric,symmetric,0.3644111623279906
['100% Corpus'],17,0.01,0.01,0.3878539378629684
['100% Corpus'],17,0.01,0.31,0.37020001019129817
['100% Corpus'],17,0.01,0.61,0.39914874597225347
['100% Corpus'],17,0.01,0.9099999999999999,0.40093089117005665
['100% Corpus'],17,0.01,symmetric,0.3886185078817992
